"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2012","181.57","178.24","182.00","176.56","1.12M","2.48%"
"10/02/2012","177.17","180.69","180.90","175.49","1.12M","-1.50%"
"10/01/2012","179.86","179.57","182.91","179.25","465.90K","0.87%"
"09/28/2012","178.30","178.60","179.43","177.12","611.98K","-0.35%"
"09/27/2012","178.93","178.01","180.00","177.68","301.11K","1.28%"
"09/26/2012","176.66","178.58","179.31","176.55","439.92K","-0.70%"
"09/25/2012","177.91","181.74","182.24","177.89","595.76K","-1.73%"
"09/24/2012","181.04","181.44","182.25","180.56","591.45K","-1.07%"
"09/21/2012","183.00","183.91","184.27","182.63","916.93K","0.00%"
"09/20/2012","183.00","181.24","183.37","179.93","581.21K","0.37%"
"09/19/2012","182.33","183.00","183.69","182.29","668.61K","-0.22%"
"09/18/2012","182.74","182.75","183.75","181.57","669.64K","0.01%"
"09/17/2012","182.72","182.50","183.95","182.29","572.77K","-0.15%"
"09/14/2012","183.00","185.30","185.46","182.06","1.09M","0.61%"
"09/13/2012","181.89","176.78","181.98","175.29","1.09M","2.94%"
"09/12/2012","176.69","177.00","178.08","175.31","497.14K","-0.02%"
"09/11/2012","176.72","177.61","179.35","176.55","586.42K","-0.62%"
"09/10/2012","177.83","181.70","181.95","177.72","613.07K","-2.30%"
"09/07/2012","182.02","180.40","182.73","179.90","441.53K","1.02%"
"09/06/2012","180.18","177.22","180.40","176.54","514.13K","2.37%"
"09/05/2012","176.00","177.20","177.97","175.92","434.16K","-0.53%"
"09/04/2012","176.93","176.70","178.00","175.36","376.37K","0.32%"
"08/31/2012","176.37","176.94","177.98","174.86","395.02K","0.20%"
"08/30/2012","176.01","175.44","176.83","174.50","434.68K","-0.64%"
"08/29/2012","177.15","178.88","179.20","176.75","303.55K","-0.66%"
"08/28/2012","178.32","176.78","179.43","176.22","651.92K","0.75%"
"08/27/2012","177.00","178.53","178.99","176.75","287.50K","-0.71%"
"08/24/2012","178.27","176.62","178.88","175.51","299.42K","0.55%"
"08/23/2012","177.30","178.25","178.69","176.77","300.14K","-0.42%"
"08/22/2012","178.04","178.30","178.98","177.22","326.55K","-0.27%"
"08/21/2012","178.53","178.80","181.34","177.46","460.83K","0.09%"
"08/20/2012","178.37","177.72","179.29","177.25","410.36K","-0.23%"
"08/17/2012","178.79","179.45","180.00","177.56","388.99K","0.89%"
"08/16/2012","177.22","176.06","177.99","175.23","374.12K","0.68%"
"08/15/2012","176.03","172.97","176.45","172.95","466.80K","1.75%"
"08/14/2012","173.00","175.51","175.57","172.41","474.41K","-1.11%"
"08/13/2012","174.95","174.11","175.34","173.21","353.67K","0.31%"
"08/10/2012","174.41","173.58","174.74","172.94","382.26K","-0.22%"
"08/09/2012","174.79","173.50","175.55","173.13","427.73K","0.64%"
"08/08/2012","173.67","173.00","173.91","172.61","451.22K","-0.20%"
"08/07/2012","174.01","173.74","174.63","173.01","747.15K","0.64%"
"08/06/2012","172.91","173.80","175.29","172.69","501.75K","-0.16%"
"08/03/2012","173.19","170.87","173.73","170.00","596.69K","2.78%"
"08/02/2012","168.51","168.24","169.60","166.00","569.19K","-0.65%"
"08/01/2012","169.62","170.76","172.92","169.29","423.18K","-0.38%"
"07/31/2012","170.26","170.90","171.69","168.65","504.00K","-1.03%"
"07/30/2012","172.03","170.85","172.54","168.71","530.57K","0.80%"
"07/27/2012","170.67","166.36","171.53","165.69","631.18K","3.44%"
"07/26/2012","165.00","166.64","167.24","164.42","1.04M","0.57%"
"07/25/2012","164.06","165.51","166.27","163.95","961.72K","-0.22%"
"07/24/2012","164.42","166.48","168.00","163.85","1.18M","-1.46%"
"07/23/2012","166.85","170.31","170.31","165.66","1.18M","-3.73%"
"07/20/2012","173.31","175.27","176.32","173.11","735.24K","-1.60%"
"07/19/2012","176.12","175.07","176.95","174.55","665.67K","0.61%"
"07/18/2012","175.05","172.89","176.00","171.74","896.90K","-0.62%"
"07/17/2012","176.15","175.77","176.44","172.32","576.25K","0.49%"
"07/16/2012","175.29","175.51","176.47","174.03","472.17K","-0.28%"
"07/13/2012","175.78","172.79","176.40","172.50","541.90K","1.92%"
"07/12/2012","172.47","173.51","173.51","171.24","754.05K","-1.52%"
"07/11/2012","175.13","173.97","175.38","172.75","826.10K","0.93%"
"07/10/2012","173.51","173.06","175.21","171.96","1.11M","0.96%"
"07/09/2012","171.86","171.51","172.45","169.45","775.29K","0.34%"
"07/06/2012","171.28","170.16","171.45","169.32","671.46K","-0.27%"
"07/05/2012","171.75","172.96","174.53","170.64","666.13K","-1.20%"
"07/03/2012","173.84","169.03","173.86","169.03","517.54K","2.48%"
"07/02/2012","169.63","169.81","170.37","168.46","853.25K","-0.11%"
"06/29/2012","169.82","169.87","169.87","166.98","1.10M","2.25%"
"06/28/2012","166.09","165.17","166.21","163.24","1.16M","-0.17%"
"06/27/2012","166.38","169.26","169.26","165.97","1.23M","-1.08%"
"06/26/2012","168.19","167.16","169.00","166.52","667.62K","0.77%"
"06/25/2012","166.91","169.11","169.52","165.71","1.22M","-2.96%"
"06/22/2012","172.00","173.35","174.91","170.66","3.07M","0.61%"
"06/21/2012","170.95","175.66","177.10","170.83","945.42K","-2.68%"
"06/20/2012","175.66","177.24","177.24","174.24","709.08K","-0.24%"
"06/19/2012","176.08","174.78","177.35","173.69","646.59K","1.52%"
"06/18/2012","173.45","175.86","175.86","171.92","864.24K","-1.86%"
"06/15/2012","176.73","173.56","177.66","173.18","1.76M","2.34%"
"06/14/2012","172.69","171.92","173.16","171.11","910.13K","0.45%"
"06/13/2012","171.92","173.28","173.34","170.16","795.27K","-0.64%"
"06/12/2012","173.02","174.13","174.96","170.33","837.28K","0.62%"
"06/11/2012","171.95","175.38","175.40","171.78","862.44K","-1.13%"
"06/08/2012","173.91","170.79","173.93","169.96","597.34K","1.04%"
"06/07/2012","172.12","171.98","174.00","171.72","857.32K","0.91%"
"06/06/2012","170.56","168.57","170.71","167.24","772.26K","2.57%"
"06/05/2012","166.28","162.71","166.75","162.71","1.33M","0.78%"
"06/04/2012","165.00","167.17","168.35","163.64","1.09M","-0.94%"
"06/01/2012","166.57","168.07","169.33","165.40","1.69M","-2.48%"
"05/31/2012","170.80","170.53","171.93","167.56","1.35M","0.02%"
"05/30/2012","170.77","172.99","173.00","170.18","1.36M","-2.19%"
"05/29/2012","174.60","173.13","174.69","171.02","1.63M","1.89%"
"05/25/2012","171.36","170.47","172.25","169.61","1.49M","0.54%"
"05/24/2012","170.44","169.30","170.91","166.81","3.91M","1.76%"
"05/23/2012","167.50","160.65","168.06","160.25","22.89M","2.53%"
"05/22/2012","163.37","166.99","167.65","162.72","4.00M","-2.60%"
"05/21/2012","167.73","167.11","172.62","166.01","1.84M","-2.43%"
"05/18/2012","171.91","173.26","174.67","171.36","772.18K","-1.18%"
"05/17/2012","173.97","175.00","176.76","173.90","562.79K","-0.63%"
"05/16/2012","175.07","177.83","178.92","175.03","558.85K","-1.01%"
"05/15/2012","176.85","176.67","179.94","176.40","576.37K","0.20%"
"05/14/2012","176.49","177.03","178.23","176.40","494.88K","-1.82%"
"05/11/2012","179.77","178.95","180.93","177.12","552.68K","0.05%"
"05/10/2012","179.68","180.80","181.94","179.13","550.70K","-0.33%"
"05/09/2012","180.27","180.21","181.95","179.54","522.25K","-1.14%"
"05/08/2012","182.34","182.49","183.49","180.65","621.47K","-0.81%"
"05/07/2012","183.82","181.04","184.82","181.04","692.83K","0.35%"
"05/04/2012","183.17","182.89","184.65","181.77","1.26M","0.01%"
"05/03/2012","183.16","188.33","188.94","182.54","1.20M","-2.98%"
"05/02/2012","188.78","190.81","190.81","187.32","894.90K","-0.90%"
"05/01/2012","190.50","191.34","193.24","190.32","655.43K","-0.56%"
"04/30/2012","191.58","191.96","192.51","190.76","398.51K","-0.48%"
"04/27/2012","192.50","193.20","193.94","191.38","590.64K","-0.39%"
"04/26/2012","193.25","190.73","193.69","190.02","713.89K","0.97%"
"04/25/2012","191.40","190.00","191.56","189.75","461.20K","1.50%"
"04/24/2012","188.57","187.45","190.56","186.91","812.75K","0.87%"
"04/23/2012","186.94","188.00","188.28","184.00","1.02M","-1.82%"
"04/20/2012","190.40","190.45","193.25","189.59","1.18M","-0.10%"
"04/19/2012","190.60","195.51","195.99","189.71","1.67M","-2.76%"
"04/18/2012","196.01","200.00","200.00","194.05","1.29M","-2.87%"
"04/17/2012","201.81","200.77","202.99","199.64","736.69K","1.83%"
"04/16/2012","198.18","199.50","201.28","197.52","464.71K","0.19%"
"04/13/2012","197.81","201.51","201.72","197.48","387.08K","-1.93%"
"04/12/2012","201.71","198.70","201.91","198.49","459.18K","1.97%"
"04/11/2012","197.81","200.64","201.05","197.15","564.64K","-0.40%"
"04/10/2012","198.60","202.38","203.63","197.44","998.11K","-2.04%"
"04/09/2012","202.74","201.64","208.21","200.78","762.11K","-1.57%"
"04/05/2012","205.98","202.87","206.20","202.43","969.27K","1.06%"
"04/04/2012","203.82","205.59","206.14","202.99","681.56K","-1.33%"
"04/03/2012","206.57","205.44","207.27","202.38","605.31K","0.14%"
"04/02/2012","206.29","207.70","209.37","203.38","479.79K","0.68%"
"03/30/2012","204.90","201.73","204.90","199.18","658.98K","2.66%"
"03/29/2012","199.59","201.23","202.22","198.70","478.60K","-1.55%"
"03/28/2012","202.73","203.89","204.55","200.20","351.48K","-0.42%"
"03/27/2012","203.58","208.69","208.69","203.46","555.44K","-0.78%"
"03/26/2012","205.19","201.52","205.20","200.71","385.21K","2.03%"
"03/23/2012","201.11","199.02","201.44","198.24","364.31K","1.30%"
"03/22/2012","198.52","199.55","200.12","198.15","572.10K","-1.40%"
"03/21/2012","201.34","202.68","204.27","200.70","652.52K","-0.96%"
"03/20/2012","203.30","204.62","204.62","202.93","320.20K","-0.87%"
"03/19/2012","205.09","204.02","206.52","203.81","308.86K","-0.25%"
"03/16/2012","205.60","204.04","205.72","203.02","736.11K","0.25%"
"03/15/2012","205.08","201.24","205.09","199.35","537.55K","2.20%"
"03/14/2012","200.67","206.42","206.42","198.84","491.22K","-1.15%"
"03/13/2012","203.00","197.00","203.01","195.25","772.94K","4.17%"
"03/12/2012","194.88","196.98","196.98","194.51","627.26K","-1.03%"
"03/09/2012","196.91","196.32","197.51","195.28","437.57K","0.70%"
"03/08/2012","195.55","198.55","198.97","195.02","685.19K","-0.59%"
"03/07/2012","196.72","194.15","196.72","193.28","515.98K","1.84%"
"03/06/2012","193.17","193.65","194.95","191.88","870.57K","-1.06%"
"03/05/2012","195.24","196.74","196.82","194.55","456.48K","-1.52%"
"03/02/2012","198.25","197.80","200.25","197.60","831.13K","-0.13%"
"03/01/2012","198.50","198.02","200.00","197.16","706.58K","-0.25%"
"02/29/2012","199.00","202.09","202.09","197.57","1.23M","0.34%"
"02/28/2012","198.33","197.94","199.90","197.40","567.06K","0.31%"
"02/27/2012","197.71","195.00","198.40","194.00","476.99K","0.87%"
"02/24/2012","196.00","198.49","199.10","195.23","585.61K","-0.57%"
"02/23/2012","197.13","193.59","198.09","192.80","652.48K","1.87%"
"02/22/2012","193.51","192.70","194.60","192.40","483.46K","-0.52%"
"02/21/2012","194.53","196.37","196.79","193.87","582.16K","-0.85%"
"02/17/2012","196.19","194.73","196.80","192.20","717.13K","1.59%"
"02/16/2012","193.12","193.08","193.21","190.56","855.08K","1.71%"
"02/15/2012","189.88","192.68","192.95","189.43","781.41K","-0.86%"
"02/14/2012","191.52","191.00","192.81","189.88","646.09K","-0.48%"
"02/13/2012","192.45","191.37","192.71","190.56","554.51K","1.29%"
"02/10/2012","190.00","188.02","190.41","187.56","419.44K","-0.10%"
"02/09/2012","190.19","190.46","190.96","188.54","605.42K","-0.03%"
"02/08/2012","190.25","189.77","190.65","188.99","565.52K","0.41%"
"02/07/2012","189.47","188.98","189.99","187.32","417.58K","-0.37%"
"02/06/2012","190.18","184.01","190.20","184.01","734.84K","0.82%"
"02/03/2012","188.64","185.26","188.69","184.69","1.33M","2.65%"
"02/02/2012","183.77","182.98","184.42","182.35","1.01M","0.42%"
"02/01/2012","183.00","185.48","185.48","181.11","1.09M","0.55%"
"01/31/2012","182.00","184.41","184.88","180.41","758.43K","-0.67%"
"01/30/2012","183.22","185.68","186.00","182.81","597.58K","-2.28%"
"01/27/2012","187.49","186.00","189.05","185.58","506.57K","-0.20%"
"01/26/2012","187.86","189.80","191.68","186.40","719.26K","-0.20%"
